dir,hir,lvr,ccs,mcs,pbcr,dmi,self,single,uria,comdominiom,black,deny
0.25,0.18,0.7826086956521741,1.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.34,0.25,0.8,1.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.32,0.22,0.7305936073059359,2.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.312000007629395,0.256000003814697,0.7922077922077919,1.0,2.0,no,no,yes,no,1.79999995231628,0,no,no
0.33,0.31,0.580246913580247,1.0,2.0,no,no,no,yes,4.30000019073486,1,no,no
0.32,0.31,0.6363636363636359,2.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.38,0.3,0.8764705882352941,2.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.32,0.2,0.7969924812030071,1.0,2.0,no,no,no,no,2.0,0,no,no
0.23,0.22,0.922222222222222,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.27,0.27,0.7512690355329951,2.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.313999996185303,0.313999996185303,0.666666666666667,5.0,1.0,no,no,no,yes,1.79999995231628,0,no,no
0.35,0.23,0.8518518518518521,3.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.32,0.27,0.743362831858407,2.0,2.0,no,no,yes,yes,3.20000004768372,0,no,no
0.3579999923706049,0.10199999809265099,0.8,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.35,0.33,0.9296875,1.0,2.0,no,yes,no,yes,3.9000000953674303,0,no,yes
0.34,0.24,0.9225352112676061,3.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.31,0.22,0.8,2.0,2.0,no,no,yes,yes,10.6000003814697,0,no,no
0.29,0.21,0.7032258064516128,3.0,3.0,no,no,no,no,3.0999999046325697,0,no,no
0.61,0.39,0.555555555555556,1.0,2.0,no,no,no,no,10.6000003814697,0,no,yes
0.262999992370605,0.226000003814697,0.6254071661237779,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.26200000762939496,0.257999992370605,0.687022900763359,2.0,2.0,no,no,no,yes,4.30000019073486,0,no,no
0.36,0.288999996185303,0.7875,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.46,0.31,1.10555555555556,2.0,1.0,no,no,yes,yes,4.30000019073486,0,no,yes
0.305,0.21799999237060502,0.666666666666667,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.38400001525878896,0.28,0.506666666666667,2.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.263999996185303,0.215,0.788177339901478,1.0,2.0,no,no,yes,no,10.6000003814697,0,no,no
0.33,0.308999996185303,0.302325581395349,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.47,0.31,0.89261744966443,3.0,2.0,no,no,yes,yes,3.20000004768372,0,yes,yes
0.19,0.18,0.7388888888888892,1.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.3,0.3,0.8947368421052628,4.0,2.0,no,no,no,yes,4.30000019073486,0,no,no
0.36,0.26,0.7386363636363641,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.33,0.26,0.7,1.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.23,0.23,0.736842105263158,1.0,2.0,no,no,no,yes,3.0999999046325697,1,no,no
0.41,0.34,0.8,3.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.36,0.3,0.9506172839506171,2.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.41,0.33,0.6945945945945949,1.0,2.0,no,no,no,no,1.79999995231628,0,no,yes
0.33,0.33,0.681818181818182,1.0,2.0,no,no,no,no,5.300000190734861,0,no,no
0.29,0.29,0.5714285714285711,6.0,2.0,yes,no,no,yes,1.79999995231628,1,no,yes
0.41,0.28,0.7867867867867869,1.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.33,0.28,0.897872340425532,1.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.23,0.19,0.889175257731959,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.39,0.34,0.717037037037037,1.0,1.0,no,no,yes,no,3.20000004768372,0,no,no
0.39,0.15,0.7984693877551021,5.0,1.0,no,no,yes,no,3.20000004768372,0,no,no
0.27,0.24,0.8,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.38400001525878896,0.141999998092651,0.8,1.0,1.0,no,no,yes,yes,4.30000019073486,1,no,no
0.38200000762939507,0.27700000762939503,0.804123711340206,6.0,2.0,no,no,no,yes,3.9000000953674303,1,yes,no
0.37,0.261000003814697,0.58130081300813,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.325,0.322999992370605,0.781914893617021,4.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.39799999237060496,0.3579999923706049,0.6428571428571429,1.0,1.0,no,no,no,yes,3.20000004768372,0,no,no
0.395,0.306000003814697,0.8,2.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.40700000762939503,0.337000007629395,0.7489361702127659,1.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.301000003814697,0.198999996185303,0.7790697674418611,1.0,2.0,no,no,no,yes,1.79999995231628,1,no,no
0.365,0.317999992370605,0.9,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.266000003814697,0.25700000762939496,0.797752808988764,1.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.267999992370605,0.24200000762939497,0.8947368421052628,1.0,2.0,no,no,no,no,3.20000004768372,1,no,no
0.268999996185303,0.226000003814697,0.7987804878048779,1.0,2.0,no,no,no,no,3.9000000953674303,1,no,no
0.409000015258789,0.315,0.8878504672897201,6.0,2.0,no,no,no,yes,3.20000004768372,0,yes,no
0.307999992370605,0.28,0.581395348837209,6.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.311000003814697,0.311000003814697,0.666666666666667,5.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.36,0.3,0.862745098039216,1.0,2.0,no,no,no,no,1.79999995231628,1,yes,no
0.39,0.31,0.813333333333333,2.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.32,0.32,0.732307692307692,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.18,0.16,0.314814814814815,1.0,2.0,no,no,no,no,5.300000190734861,0,no,no
0.34,0.27,0.379807692307692,6.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.327999992370605,0.327999992370605,0.868965517241379,1.0,2.0,no,no,no,yes,3.0999999046325697,1,yes,no
0.38380001068115205,0.28940000534057597,0.9879518072289158,6.0,2.0,no,no,no,yes,3.20000004768372,1,yes,yes
0.33799999237060496,0.252999992370605,0.9,6.0,2.0,no,no,no,no,3.20000004768372,1,yes,no
0.28100000381469703,0.271000003814697,0.4675,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.392299995422363,0.33380001068115195,0.9022556390977441,6.0,2.0,yes,no,no,yes,4.30000019073486,1,yes,yes
0.36299999237060493,0.208999996185303,0.471380471380471,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.245799999237061,0.230799999237061,0.311111111111111,1.0,1.0,no,no,no,no,2.0,0,no,no
0.38209999084472707,0.330900001525879,0.7972972972972969,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.32,0.28,0.65,1.0,1.0,no,no,no,no,2.0,0,no,no
0.286000003814697,0.255,0.65,5.0,2.0,no,no,no,no,2.0,1,yes,no
0.266000003814697,0.21,0.555555555555556,2.0,1.0,no,no,no,yes,1.79999995231628,0,no,no
0.315,0.28700000762939504,0.9013157894736842,1.0,1.0,no,no,no,no,3.20000004768372,0,yes,no
0.304699993133545,0.238999996185303,0.4782608695652171,1.0,2.0,no,no,no,yes,3.5999999046325697,0,yes,no
0.33799999237060496,0.29200000762939504,0.902857142857143,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.36599998474121104,0.272999992370605,0.651785714285714,1.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.370999984741211,0.245,0.593220338983051,1.0,2.0,no,no,yes,no,3.20000004768372,1,yes,no
0.380999984741211,0.318999996185303,0.315581854043393,1.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.35,0.31,0.8985507246376809,1.0,2.0,no,no,no,yes,3.9000000953674303,1,yes,no
0.34,0.29,0.9523809523809521,2.0,2.0,no,no,no,no,5.300000190734861,0,yes,no
0.265200004577637,0.2125,0.891089108910891,6.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.35,0.26,0.9,2.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.39,0.26,0.9022556390977441,6.0,2.0,no,no,no,yes,3.20000004768372,1,yes,yes
0.39,0.24,0.7796610169491529,2.0,2.0,no,no,yes,yes,4.30000019073486,0,no,yes
0.3,0.17,0.402173913043478,1.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.29,0.29,0.7090909090909091,1.0,1.0,no,no,no,no,1.79999995231628,0,no,no
0.35,0.34,0.8014842300556592,1.0,2.0,no,no,no,no,3.5999999046325697,1,no,no
0.39,0.27,0.833333333333333,1.0,1.0,no,no,no,yes,2.0,0,no,no
0.36,0.28,0.903703703703704,6.0,2.0,no,no,no,yes,3.9000000953674303,0,yes,no
0.26,0.26,0.7361111111111109,1.0,1.0,no,no,no,yes,1.79999995231628,1,no,no
0.36,0.23,0.7421875,1.0,1.0,no,no,no,yes,3.20000004768372,1,no,no
0.27,0.22,0.774011299435028,1.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.35700000762939504,0.2,0.8,5.0,2.0,no,no,no,yes,3.0999999046325697,1,no,no
0.3,0.19700000762939499,0.883495145631068,1.0,2.0,no,no,no,no,3.0999999046325697,1,yes,no
0.39,0.29,0.9056603773584909,1.0,2.0,no,no,no,no,2.0,1,yes,no
0.31,0.3,0.8979591836734692,1.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.43,0.21,0.5625,2.0,1.0,no,no,yes,no,3.20000004768372,1,no,yes
0.4,0.26,0.531468531468531,6.0,2.0,yes,yes,no,no,3.20000004768372,0,yes,yes
0.34,0.23,0.8839285714285708,6.0,2.0,no,no,no,yes,3.0999999046325697,0,yes,no
0.405999984741211,0.405999984741211,0.898305084745763,4.0,2.0,no,no,yes,no,3.5999999046325697,0,no,yes
0.23,0.13,0.33816425120772897,1.0,2.0,no,no,no,no,3.5999999046325697,0,no,yes
0.73,0.37,0.45627376425855504,1.0,1.0,no,no,yes,yes,3.20000004768372,0,no,yes
0.38,0.35,0.577235772357724,1.0,2.0,no,no,no,yes,2.0,1,yes,no
0.38299999237060495,0.360900001525879,0.608,1.0,2.0,no,no,no,yes,3.0999999046325697,1,yes,no
0.32,0.221000003814697,0.8971962616822429,1.0,2.0,no,no,no,no,10.6000003814697,1,no,no
0.292999992370605,0.25,0.852173913043478,1.0,2.0,no,no,no,no,3.9000000953674303,0,no,no
0.240300006866455,0.235,0.25641025641025605,1.0,2.0,no,no,no,yes,1.79999995231628,1,no,no
0.193999996185303,0.115,0.7277777777777779,2.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.293999996185303,0.258999996185303,0.5737704918032789,6.0,2.0,no,no,no,yes,1.79999995231628,1,yes,no
0.38200000762939507,0.268999996185303,0.608,2.0,2.0,no,no,no,yes,3.20000004768372,1,yes,no
0.379799995422363,0.279599990844727,0.608,6.0,2.0,no,no,yes,yes,3.20000004768372,1,yes,no
0.33590000152587896,0.21940000534057602,0.8098591549295769,1.0,2.0,no,no,no,no,3.20000004768372,0,yes,no
0.390299987792969,0.277199993133545,0.608,6.0,2.0,no,no,no,yes,3.9000000953674303,1,yes,no
0.392799987792969,0.303799991607666,0.8,6.0,2.0,no,no,no,yes,3.9000000953674303,1,yes,no
0.28,0.28,0.826086956521739,5.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.31,0.26,0.896825396825397,1.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.384099998474121,0.20909999847412103,0.8,1.0,2.0,no,no,yes,yes,3.5999999046325697,1,no,no
0.334000015258789,0.286000003814697,0.8896551724137929,1.0,2.0,no,no,no,yes,3.9000000953674303,0,yes,no
0.29,0.26,0.8924731182795699,1.0,2.0,no,no,no,yes,3.9000000953674303,1,yes,no
0.330900001525879,0.300499992370605,0.7457627118644069,1.0,2.0,no,no,no,yes,1.79999995231628,1,no,no
0.33689998626709,0.321399993896484,0.933333333333333,1.0,2.0,no,no,no,yes,2.0,0,yes,no
0.34229999542236306,0.313999996185303,0.8612440191387559,1.0,2.0,no,no,no,no,10.6000003814697,0,no,no
0.30270000457763696,0.257700004577637,0.954545454545455,5.0,2.0,no,no,no,yes,3.9000000953674303,0,yes,yes
0.319099998474121,0.265200004577637,0.7924528301886791,1.0,2.0,no,no,no,no,3.0999999046325697,1,no,no
0.24629999160766602,0.211000003814697,0.688073394495413,1.0,2.0,no,no,no,no,4.30000019073486,1,no,no
0.286000003814697,0.25270000457763697,0.7534883720930229,2.0,2.0,no,no,yes,no,10.6000003814697,0,no,no
0.27,0.27,0.797872340425532,6.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.28200000762939503,0.251200008392334,0.9,2.0,2.0,no,no,yes,yes,4.30000019073486,0,no,no
0.32439998626709005,0.291800003051758,0.564796905222437,1.0,1.0,no,no,yes,yes,1.79999995231628,1,no,no
0.34799999237060497,0.18889999389648396,0.737967914438503,2.0,2.0,no,no,yes,no,3.9000000953674303,0,no,no
0.296000003814697,0.296000003814697,0.47923322683706104,4.0,2.0,no,no,no,yes,1.79999995231628,1,no,no
0.31979999542236304,0.262700004577637,0.532258064516129,5.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.400099983215332,0.278799991607666,0.40784313725490207,1.0,2.0,no,no,yes,yes,3.20000004768372,0,no,no
0.276299991607666,0.254400005340576,0.748502994011976,2.0,2.0,no,no,no,no,2.0,0,no,no
0.352400016784668,0.289899997711182,0.7480916030534351,2.0,2.0,no,no,no,yes,3.9000000953674303,0,no,no
0.12380000114440899,0.12180000305175802,0.6930693069306929,1.0,2.0,no,no,no,no,1.79999995231628,0,no,no
0.34,0.27,1.90833333333333,1.0,2.0,no,no,no,yes,3.0999999046325697,1,no,no
0.21159999847412103,0.181800003051758,0.516129032258065,1.0,2.0,no,no,yes,no,10.6000003814697,0,no,no
0.282600002288818,0.275200004577637,0.47117794486215503,1.0,1.0,no,no,no,no,1.79999995231628,0,no,no
0.288999996185303,0.284599990844727,0.7407407407407409,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.3,0.25,0.7712765957446809,5.0,1.0,no,no,no,no,10.6000003814697,0,no,no
0.36,0.28,0.7359307359307359,3.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.32,0.27,0.564102564102564,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.32,0.32,0.6875,1.0,1.0,no,no,no,no,3.20000004768372,0,no,yes
0.26,0.2,0.7357142857142859,5.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.26,0.21,0.7075471698113209,2.0,1.0,no,no,no,no,3.5999999046325697,0,no,no
0.32,0.26,0.7944444444444441,2.0,1.0,no,no,yes,yes,1.79999995231628,1,no,yes
0.42,0.33,0.8,3.0,3.0,yes,no,no,yes,3.20000004768372,0,yes,no
0.34,0.33,0.643410852713178,5.0,2.0,no,no,no,yes,1.79999995231628,1,no,no
0.37,0.34,0.8775510204081629,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.29,0.28,0.592592592592593,1.0,2.0,no,no,no,yes,2.0,0,no,no
0.35,0.31,0.72,1.0,2.0,no,no,no,yes,1.79999995231628,0,no,no
0.4,0.27,0.8,1.0,2.0,no,no,no,yes,4.30000019073486,1,no,no
0.36,0.3,0.9263157894736841,1.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.38,0.27,0.704545454545455,1.0,1.0,no,no,no,no,3.9000000953674303,0,no,no
0.37,0.26,0.577777777777778,1.0,1.0,no,no,no,no,2.0,0,no,no
0.41,0.23,0.705660377358491,1.0,1.0,no,no,no,yes,1.79999995231628,0,no,no
0.32,0.31,0.277777777777778,1.0,2.0,no,no,no,yes,3.20000004768372,1,no,no
0.33,0.26,0.946236559139785,1.0,2.0,no,no,no,no,4.30000019073486,0,no,no
0.33,0.26,0.8176470588235291,1.0,2.0,no,no,no,no,10.6000003814697,0,no,no
0.29,0.21,0.3125,1.0,2.0,no,no,no,yes,3.20000004768372,0,no,no
0.37,0.11,0.340909090909091,6.0,1.0,no,no,yes,yes,3.20000004768372,0,no,no
0.36,0.2,0.8988095238095241,6.0,2.0,yes,no,no,yes,5.300000190734861,0,no,no
0.37,0.3,0.7647058823529409,1.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.3,0.3,0.529411764705882,1.0,1.0,no,no,no,yes,5.300000190734861,0,no,no
0.34,0.34,0.811764705882353,1.0,2.0,no,no,no,no,3.5999999046325697,0,no,no
0.42,0.26,0.75,2.0,2.0,no,no,yes,no,3.20000004768372,0,no,no
0.2,0.08,0.111111111111111,1.0,1.0,no,no,no,no,3.20000004768372,1,no,no
0.3,0.29,0.5333333333333329,2.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.38,0.27,0.934375,2.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.34,0.31,0.9212121212121209,6.0,2.0,no,no,no,yes,5.300000190734861,0,no,no
0.29,0.26,0.6678571428571429,1.0,1.0,no,no,yes,no,4.30000019073486,0,no,no
0.32,0.29,0.916666666666667,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.36,0.3,0.94375,2.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.41,0.3,0.652173913043478,1.0,1.0,no,no,no,no,3.20000004768372,0,no,no
0.32,0.28,0.474452554744526,1.0,2.0,no,no,no,yes,1.79999995231628,1,no,no
0.38,0.31,0.8240000000000001,1.0,2.0,no,no,no,no,10.6000003814697,0,yes,no
0.2,0.04,0.48507462686567204,3.0,1.0,no,no,no,yes,3.5999999046325697,1,no,no
0.28,0.22,0.923076923076923,4.0,2.0,no,no,no,yes,3.0999999046325697,0,no,no
0.25,0.25,0.555555555555556,4.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.29,0.28,0.5753846153846149,1.0,2.0,no,no,no,no,3.20000004768372,0,no,no
0.49,0.37,0.915584415584416,2.0,1.0,no,no,no,yes,3.20000004768372,0,no,yes
0.33,0.24,0.8894736842105259,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.45,0.21,0.801587301587302,2.0,1.0,no,no,no,no,3.0999999046325697,0,no,no
0.41,0.35,0.92258064516129,1.0,2.0,no,yes,no,yes,4.30000019073486,0,no,yes
0.35,0.28,0.8387096774193549,1.0,2.0,no,no,no,no,3.0999999046325697,0,no,no
0.35,0.3,0.350877192982456,2.0,3.0,no,no,no,no,3.9000000953674303,0,no,no
0.08,0.07,0.732984293193717,1.0,2.0,no,no,yes,no,3.9000000953674303,0,no,no
